GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.101
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.102
GO:0007155,Biological Process,cell adhesion,evm.model.tig082700000016.102
GO:0006897,Biological Process,endocytosis,evm.model.tig082700000016.104
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.107
GO:0006897,Biological Process,endocytosis,evm.model.tig082700000016.107
GO:0007155,Biological Process,cell adhesion,evm.model.tig082700000016.107
GO:0046999,Biological Process,obsolete regulation of conjugation,evm.model.tig082700000016.11
GO:0009740,Biological Process,gibberellic acid mediated signaling pathway,evm.model.tig082700000016.111
GO:0006468,Biological Process,protein phosphorylation,evm.model.tig082700000016.112
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.112
GO:0006468,Biological Process,protein phosphorylation,evm.model.tig082700000016.114
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.114
GO:0006468,Biological Process,protein phosphorylation,evm.model.tig082700000016.115
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.115
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.116
GO:0051603,Biological Process,proteolysis involved in cellular protein catabolic process,evm.model.tig082700000016.116
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.118
GO:0051603,Biological Process,proteolysis involved in cellular protein catabolic process,evm.model.tig082700000016.118
GO:0044782,Biological Process,cilium organization,evm.model.tig082700000016.121
GO:0042908,Biological Process,xenobiotic transport,evm.model.tig082700000016.122
GO:0055085,Biological Process,transmembrane transport,evm.model.tig082700000016.122
GO:0015833,Biological Process,peptide transport,evm.model.tig082700000016.123
GO:0042908,Biological Process,xenobiotic transport,evm.model.tig082700000016.123
GO:0055085,Biological Process,transmembrane transport,evm.model.tig082700000016.123
GO:0006139,Biological Process,nucleobase-containing compound metabolic process,evm.model.tig082700000016.128
GO:0006152,Biological Process,purine nucleoside catabolic process,evm.model.tig082700000016.128
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.128
GO:0008152,Biological Process,metabolic process,evm.model.tig082700000016.128
GO:1901564,Biological Process,organonitrogen compound metabolic process,evm.model.tig082700000016.128
GO:0006325,Biological Process,chromatin organization,evm.model.tig082700000016.131
GO:0016575,Biological Process,histone deacetylation,evm.model.tig082700000016.131
GO:0045892,Biological Process,"negative regulation of transcription, DNA-templated",evm.model.tig082700000016.131
GO:2000113,Biological Process,negative regulation of cellular macromolecule biosynthetic process,evm.model.tig082700000016.131
GO:0016575,Biological Process,histone deacetylation,evm.model.tig082700000016.132
GO:0045892,Biological Process,"negative regulation of transcription, DNA-templated",evm.model.tig082700000016.132
GO:2000113,Biological Process,negative regulation of cellular macromolecule biosynthetic process,evm.model.tig082700000016.132
GO:0005975,Biological Process,carbohydrate metabolic process,evm.model.tig082700000016.135
GO:0006508,Biological Process,proteolysis,evm.model.tig082700000016.136
GO:0006511,Biological Process,ubiquitin-dependent protein catabolic process,evm.model.tig082700000016.136
GO:0016579,Biological Process,protein deubiquitination,evm.model.tig082700000016.136
GO:0000160,Biological Process,phosphorelay signal transduction system,evm.model.tig082700000016.140
GO:0006355,Biological Process,"regulation of transcription, DNA-templated",evm.model.tig082700000016.140
GO:0007165,Biological Process,signal transduction,evm.model.tig082700000016.140
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.140
GO:0018106,Biological Process,peptidyl-histidine phosphorylation,evm.model.tig082700000016.140
GO:0000160,Biological Process,phosphorelay signal transduction system,evm.model.tig082700000016.142
GO:0006355,Biological Process,"regulation of transcription, DNA-templated",evm.model.tig082700000016.142
GO:0007165,Biological Process,signal transduction,evm.model.tig082700000016.142
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.142
GO:0018106,Biological Process,peptidyl-histidine phosphorylation,evm.model.tig082700000016.142
GO:0046777,Biological Process,protein autophosphorylation,evm.model.tig082700000016.142
GO:0090305,Biological Process,nucleic acid phosphodiester bond hydrolysis,evm.model.tig082700000016.143
GO:0000160,Biological Process,phosphorelay signal transduction system,evm.model.tig082700000016.146
GO:0007165,Biological Process,signal transduction,evm.model.tig082700000016.146
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.146
GO:0018106,Biological Process,peptidyl-histidine phosphorylation,evm.model.tig082700000016.146
GO:0051716,Biological Process,cellular response to stimulus,evm.model.tig082700000016.146
GO:0006468,Biological Process,protein phosphorylation,evm.model.tig082700000016.148
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.148
GO:0044773,Biological Process,mitotic DNA damage checkpoint signaling,evm.model.tig082700000016.148
GO:0006468,Biological Process,protein phosphorylation,evm.model.tig082700000016.149
GO:0016310,Biological Process,phosphorylation,evm.model.tig082700000016.149
GO:0044773,Biological Process,mitotic DNA damage checkpoint signaling,evm.model.tig082700000016.149
GO:0006887,Biological Process,exocytosis,evm.model.tig082700000016.150
GO:0035821,Biological Process,modulation of process of another organism,evm.model.tig082700000016.150
GO:0055085,Biological Process,transmembrane transport,evm.model.tig082700000016.152
GO:0006355,Biological Process,"regulation of transcription, DNA-templated",evm.model.tig082700000016.154
GO:0006357,Biological Process,regulation of transcription by RNA polymerase II,evm.model.tig082700000016.154
GO:0090630,Biological Process,activation of GTPase activity,evm.model.tig082700000016.156
GO:0006631,Biological Process,fatty acid metabolic process,evm.model.tig082700000016.158
GO:0006633,Biological Process,fatty acid biosynthetic process,evm.model.tig082700000016.158
GO:0031408,Biological Process,oxylipin biosynthetic process,evm.model.tig082700000016.158
GO:0006897,Biological Process,endocytosis,evm.model.tig082700000016.162
GO:0006631,Biological Process,fatty acid metabolic process,evm.model.tig082700000016.163
GO:0006633,Biological Process,fatty acid biosynthetic process,evm.model.tig082700000016.163
GO:0031408,Biological Process,oxylipin biosynthetic process,evm.model.tig082700000016.163
GO:0006631,Biological Process,fatty acid metabolic process,evm.model.tig082700000016.164
GO:0006633,Biological Process,fatty acid biosynthetic process,evm.model.tig082700000016.164
GO:0031408,Biological Process,oxylipin biosynthetic process,evm.model.tig082700000016.164
GO:0006631,Biological Process,fatty acid metabolic process,evm.model.tig082700000016.167
GO:0006633,Biological Process,fatty acid biosynthetic process,evm.model.tig082700000016.167
GO:0031408,Biological Process,oxylipin biosynthetic process,evm.model.tig082700000016.167
GO:0002098,Biological Process,tRNA wobble uridine modification,evm.model.tig082700000016.17
